Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
617; 2,052E1; 7,160E-1; 2,663E0; -1,627E-1; 4,106E1
618; 2,056E1; 7,338E-1; 3,902E0; 5,338E-1; 3,719E1
619; 2,059E1; 7,291E-1; 4,883E0; -1,385E-1; 2,944E1
620; 2,062E1; 7,503E-1; 5,734E0; 6,348E-1; 2,555E1
621; 2,066E1; 7,869E-1; 6,366E0; 1,099E0; 1,898E1
622; 2,069E1; 8,083E-1; 6,703E0; 6,430E-1; 1,012E1
623; 2,072E1; 8,433E-1; 6,829E0; 1,051E0; 3,769E0
624; 2,076E1; 8,930E-1; 6,764E0; 1,490E0; -1,951E0
625; 2,079E1; 9,207E-1; 6,414E0; 8,323E-1; -1,051E1
626; 2,082E1; 9,734E-1; 5,838E0; 1,582E0; -1,730E1
627; 2,086E1; 1,040E0; 5,074E0; 2,011E0; -2,291E1
628; 2,089E1; 1,089E0; 4,045E0; 1,467E0; -3,089E1
629; 2,092E1; 1,149E0; 2,871E0; 1,792E0; -3,523E1
630; 2,096E1; 1,213E0; 1,585E0; 1,928E0; -3,861E1
631; 2,099E1; 1,275E0; 7,909E-2; 1,846E0; -4,520E1
632; 2,102E1; 1,324E0; -1,471E0; 1,470E0; -4,654E1
633; 2,106E1; 1,412E0; -3,022E0; 2,665E0; -4,653E1
634; 2,109E1; 1,455E0; -4,665E0; 1,264E0; -4,931E1
635; 2,112E1; 1,504E0; -6,270E0; 1,490E0; -4,818E1
636; 2,116E1; 1,578E0; -7,785E0; 2,217E0; -4,547E1
637; 2,119E1; 1,630E0; -9,260E0; 1,554E0; -4,426E1
638; 2,122E1; 1,656E0; -1,060E1; 7,713E-1; -4,018E1
639; 2,126E1; 1,691E0; -1,173E1; 1,059E0; -3,401E1
640; 2,129E1; 1,693E0; -1,276E1; 7,539E-2; -3,073E1
641; 2,132E1; 1,715E0; -1,357E1; 6,539E-1; -2,440E1
642; 2,136E1; 1,743E0; -1,412E1; 8,317E-1; -1,654E1
643; 2,139E1; 1,737E0; -1,448E1; -1,750E-1; -1,078E1
644; 2,142E1; 1,695E0; -1,454E1; -1,256E0; -1,704E0
645; 2,146E1; 1,696E0; -1,434E1; 2,036E-2; 5,843E0
646; 2,149E1; 1,645E0; -1,394E1; -1,531E0; 1,202E1
647; 2,152E1; 1,612E0; -1,332E1; -9,943E-1; 1,859E1
648; 2,156E1; 1,583E0; -1,241E1; -8,575E-1; 2,736E1
649; 2,159E1; 1,509E0; -1,134E1; -2,233E0; 3,211E1
650; 2,162E1; 1,447E0; -1,017E1; -1,841E0; 3,518E1
651; 2,166E1; 1,411E0; -8,760E0; -1,106E0; 4,223E1
652; 2,169E1; 1,295E0; -7,255E0; -3,459E0; 4,516E1
653; 2,172E1; 1,232E0; -5,713E0; -1,893E0; 4,628E1
654; 2,176E1; 1,232E0; -5,713E0; 0,000E0; 0,000E0
655; 2,179E1; 1,166E0; -4,065E0; -1,980E0; 4,946E1
656; 2,182E1; 1,111E0; -2,464E0; -1,661E0; 4,806E1
657; 2,186E1; 1,036E0; -9,142E-1; -2,240E0; 4,652E1
658; 2,189E1; 9,708E-1; 6,425E-1; -1,967E0; 4,672E1
659; 2,192E1; 9,128E-1; 2,041E0; -1,741E0; 4,199E1
660; 2,196E1; 8,634E-1; 3,265E0; -1,483E0; 3,671E1
